圈定车系名称,车型名称,厂商指导价,经销商名称,_merge
宝马iX1,2024款eDrive25LX设计套装,29.99,北京京宝行,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京中升宝辉奥森店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京晨德宝 宝马领创中心,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京骏宝行宝马,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京盈之宝,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京运通兴宝,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京博瑞宝宝马永定门店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京燕德宝汽车销售有限公司,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京中升宝晋未来科学城店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京运通晟宝 亦庄新城店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京万宝航宝马中心,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京易至宝汽车销售服务有限公司,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京华德宝宝马四惠店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京昌德宝,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京运通嘉宝顺义西站店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,宝信行宝马,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京博得宝宝马德胜门店,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京宝诚百旺,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京汇宝行,left_only
宝马iX1,2024款eDrive25LX设计套装,29.99,北京美宝行顺义城区店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京京宝行,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京中升宝辉奥森店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京晨德宝 宝马领创中心,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京骏宝行宝马,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京盈之宝,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京运通兴宝,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京博瑞宝宝马永定门店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京燕德宝汽车销售有限公司,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京中升宝晋未来科学城店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京运通晟宝 亦庄新城店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京万宝航宝马中心,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京易至宝汽车销售服务有限公司,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京华德宝宝马四惠店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京昌德宝,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京运通嘉宝顺义西站店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,宝信行宝马,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京博得宝宝马德胜门店,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京宝诚百旺,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京汇宝行,left_only
宝马iX1,2024款eDrive25LM运动套装,29.99,北京美宝行顺义城区店,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京京宝行,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京中升宝辉奥森店,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京晨德宝 宝马领创中心,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京骏宝行宝马,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京盈之宝,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京运通兴宝,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京博瑞宝宝马永定门店,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京燕德宝汽车销售有限公司,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京中升宝晋未来科学城店,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京运通晟宝 亦庄新城店,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京万宝航宝马中心,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京易至宝汽车销售服务有限公司,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京华德宝宝马四惠店,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京昌德宝,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京运通嘉宝顺义西站店,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,宝信行宝马,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京博得宝宝马德胜门店,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京宝诚百旺,both
宝马iX1,2023款xDrive30LX设计套装,33.99,北京汇宝行,left_only
宝马iX1,2023款xDrive30LX设计套装,33.99,北京美宝行顺义城区店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京京宝行,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京中升宝辉奥森店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京晨德宝 宝马领创中心,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京骏宝行宝马,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京盈之宝,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京运通兴宝,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京博瑞宝宝马永定门店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京燕德宝汽车销售有限公司,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京中升宝晋未来科学城店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京运通晟宝 亦庄新城店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京万宝航宝马中心,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京易至宝汽车销售服务有限公司,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京华德宝宝马四惠店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京昌德宝,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京运通嘉宝顺义西站店,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,宝信行宝马,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京博得宝宝马德胜门店,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京宝诚百旺,both
宝马iX1,2023款xDrive30LM运动套装,33.99,北京汇宝行,left_only
宝马iX1,2023款xDrive30LM运动套装,33.99,北京美宝行顺义城区店,both
奔驰EQS,2023款EQS450+先锋型,88.1,北京中升之星奔驰,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,北京博瑞祥驰,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,北京波士瑞达,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,北京鹏龙大道奔驰,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,北京波士通达奔驰,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,北京波士畅达奔驰,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,北京波士顺达,left_only
奔驰EQS,2023款EQS450+先锋型,88.1,百得利之星奔驰,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京博瑞祥驰,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京波士通达奔驰,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京波士畅达奔驰,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,百得利之星奔驰,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京波士顺达,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京波士瑞达,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京中升之星奔驰,left_only
奔驰EQS,2023款EQS450+豪华型,99.2,北京鹏龙大道奔驰,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京博瑞祥驰,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京波士通达奔驰,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京波士畅达奔驰,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,百得利之星奔驰,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京波士顺达,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京波士瑞达,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京中升之星奔驰,left_only
奔驰EQS,2023款EQS5804MATIC,133.9,北京鹏龙大道奔驰,left_only
奔驰EQA,2023款EQA260,32.2,北京博瑞祥驰,both
奔驰EQA,2023款EQA260,32.2,北京波士通达奔驰,left_only
奔驰EQA,2023款EQA260,32.2,北京波士畅达奔驰,left_only
奔驰EQA,2023款EQA260,32.2,百得利之星奔驰,both
奔驰EQA,2023款EQA260,32.2,北京波士顺达,left_only
奔驰EQA,2023款EQA260,32.2,北京波士瑞达,left_only
奔驰EQA,2023款EQA260,32.2,北京星徽福瑞汽车销售服务有限公司,left_only
奔驰EQA,2023款EQA260,32.2,北京中升之星奔驰,both
奔驰EQA,2023款EQA260,32.2,北京鹏龙大道奔驰,both
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,23年惠通陆华四惠亚洲旗舰店,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,北京运通兴捷,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,运通捷豹路虎卓越5S店,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,通州捷豹路虎旗舰店,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,18年兰德陆华皇冠店,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,北京燕英捷捷豹路虎金港赛道旗舰体验中心,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,北京长久世达,left_only
揽胜极光新能源,2023款极光LP300e插电式电动混合型,41.58,长久世捷西四环5S中心,both
发现运动版新能源,2024款P300e插电式电动混合型,40.98,23年惠通陆华四惠亚洲旗舰店,left_only
发现运动版新能源,2024款P300e插电式电动混合型,40.98,北京运通兴捷,left_only
发现运动版新能源,2024款P300e插电式电动混合型,40.98,运通捷豹路虎卓越5S店,left_only
